#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  178
#! SET periodic_phi true
   -3.141592654  -78.115001004  -57.280112945
   -3.106293860  -80.108565568  -55.094014567
   -3.070995066  -81.939499066  -47.985645479
   -3.035696272  -83.466376212  -38.646901464
   -3.000397478  -84.685317976  -31.186941736
   -2.965098684  -85.714371123  -28.075064091
   -2.929799890  -86.698688212  -28.163851633
   -2.894501097  -87.692404157  -28.033609132
   -2.859202303  -88.633362672  -24.869927437
   -2.823903509  -89.407867663  -18.973743883
   -2.788604715  -89.961136213  -12.786843575
   -2.753305921  -90.332706673   -8.952226979
   -2.718007127  -90.622482506   -8.151601243
   -2.682708333  -90.917790597   -8.906283841
   -2.647409540  -91.237662403   -9.313870979
   -2.612110746  -91.547408444   -8.284483455
   -2.576811952  -91.794715894   -5.855992183
   -2.541513158  -91.941155250   -2.614766603
   -2.506214364  -91.969383835    0.672239729
   -2.470915570  -91.890799057    3.307472417
   -2.435616776  -91.743692812    4.444324846
   -2.400317983  -91.583413713    4.114674089
   -2.365019189  -91.445189913    3.527915068
   -2.329720395  -91.309317876    4.065829805
   -2.294421601  -91.126465643    6.271378760
   -2.259122807  -90.855194220    8.675085988
   -2.223824013  -90.521698108    9.566966781
   -2.188525219  -90.196508987    8.161081877
   -2.153226425  -89.951051057    5.421377800
   -2.117927632  -89.801529846    2.996637712
   -2.082628838  -89.712675654    1.988281692
   -2.047330044  -89.635750017    2.204140071
   -2.012031250  -89.543390795    2.616865252
   -1.976732456  -89.446697889    2.476855781
   -1.941433662  -89.365148715    1.800678411
   -1.906134868  -89.311050709    1.013109823
   -1.870836075  -89.282477427    0.244571623
   -1.835537281  -89.290840025   -1.144793372
   -1.800238487  -89.368384173   -3.752744326
   -1.764939693  -89.556820930   -7.223395806
   -1.729640899  -89.866197058  -10.383041557
   -1.694342105  -90.263748715  -12.187980372
   -1.659043311  -90.698160722  -12.565798622
   -1.623744518  -91.136527786  -12.537566502
   -1.588445724  -91.577648452  -12.801003276
   -1.553146930  -92.029281633  -13.070375282
   -1.517848136  -92.474117723  -12.101025944
   -1.482549342  -92.849836985   -9.104541438
   -1.447250548  -93.084651086   -4.207884019
   -1.411951754  -93.131812857    1.186388255
   -1.376652961  -93.004797618    5.412030597
   -1.341354167  -92.766820477    7.425829495
   -1.306055373  -92.487305673    8.016553023
   -1.270756579  -92.184457939    9.063932306
   -1.235457785  -91.812644788   11.907391059
   -1.200158991  -91.313713677   16.291605553
   -1.164860197  -90.654013204   20.674603219
   -1.129561404  -89.848808769   24.553507580
   -1.094262610  -88.909429435   28.333277858
   -1.058963816  -87.833602361   32.394867053
   -1.023665022  -86.626618707   35.396156159
   -0.988366228  -85.351154384   36.030698219
   -0.953067434  -84.099795096   34.236244564
   -0.917768640  -82.926696910   32.098576120
   -0.882469847  -81.795101667   32.267327167
   -0.847171053  -80.601049441   35.542948028
   -0.811872259  -79.254951134   40.265674974
   -0.776573465  -77.756873174   43.928265777
   -0.741274671  -76.179581709   44.636929063
   -0.705975877  -74.625120846   42.922648967
   -0.670677083  -73.142010822   40.826963005
   -0.635378289  -71.710636848   40.267094838
   -0.600079496  -70.272637547   41.044015355
   -0.564780702  -68.803859435   41.843777746
   -0.529481908  -67.329290884   41.048444020
   -0.494183114  -65.915059557   38.465130084
   -0.458884320  -64.611922866   35.067837301
   -0.423585526  -63.420913132   32.485105699
   -0.388286732  -62.288036944   31.744076491
   -0.352987939  -61.145836487   32.900586281
   -0.317689145  -59.950103553   34.553134357
   -0.282390351  -58.714796464   34.807835863
   -0.247091557  -57.518418405   32.313515578
   -0.211792763  -56.462751335   26.652234148
   -0.176493969  -55.651724517   18.868872122
   -0.141195175  -55.133121561   10.385948085
   -0.105896382  -54.892942745    3.345915528
   -0.070597588  -54.855553442   -0.918749105
   -0.035298794  -54.929171875   -3.324526513
    0.000000000  -55.085133243   -6.052396214
    0.035298794  -55.372359202  -10.840636207
    0.070597588  -55.862457989  -17.081514926
    0.105896382  -56.562610723  -22.366119947
    0.141195175  -57.399729732  -24.759473857
    0.176493969  -58.274211838  -24.671737503
    0.211792763  -59.137591397  -24.603976005
    0.247091557  -60.030099798  -26.559370388
    0.282390351  -61.040937407  -31.250218176
    0.317689145  -62.255242861  -37.713575016
    0.352987939  -63.695563297  -43.806973504
    0.388286732  -65.305346749  -46.921019106
    0.423585526  -66.952924831  -45.975895614
    0.458884320  -68.511057163  -42.136293842
    0.494183114  -69.926235621  -38.420997429
    0.529481908  -71.245692719  -36.948093600
    0.564780702  -72.557287143  -37.870202141
    0.600079496  -73.920988897  -39.512046334
    0.635378289  -75.335956244  -40.595563604
    0.670677083  -76.771263746  -40.943249407
    0.705975877  -78.210922720  -40.670868479
    0.741274671  -79.632435038  -39.852350422
    0.776573465  -81.005765519  -37.956034302
    0.811872259  -82.286745397  -34.539936916
    0.847171053  -83.422181182  -29.881881051
    0.882469847  -84.382304136  -24.712210761
    0.917768640  -85.163097093  -19.788086131
    0.953067434  -85.778874317  -15.399574851
    0.988366228  -86.245815456  -11.176506600
    1.023665022  -86.556173748   -6.596188772
    1.058963816  -86.688879984   -0.985909612
    1.094262610  -86.609929320    5.378263650
    1.129561404  -86.301969223   11.753888993
    1.164860197  -85.775091164   17.823025216
    1.200158991  -85.035013816   23.953694564
    1.235457785  -84.063855812   30.946323513
    1.270756579  -82.826926603   38.933032942
    1.306055373  -81.305317582   46.817228623
    1.341354167  -79.530488675   53.056423296
    1.376652961  -77.578496390   56.696211908
