#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  178
#! SET periodic_phi true
   -3.141592654 -103.289105352  -55.355611092
   -3.106293860 -105.141485252  -49.865152257
   -3.070995066 -106.807730586  -45.006087092
   -3.035696272 -108.318510465  -40.900772479
   -3.000397478 -109.688535794  -37.003051726
   -2.965098684 -110.923129396  -33.322409277
   -2.929799890 -112.035290896  -30.001326544
   -2.894501097 -113.038754991  -27.168423501
   -2.859202303 -113.937604785  -23.857585978
   -2.823903509 -114.698785933  -19.362313589
   -2.788604715 -115.288275209  -14.358459583
   -2.753305921 -115.718636446  -10.676085844
   -2.718007127 -116.059031890   -9.498569442
   -2.682708333 -116.394287890   -9.805289210
   -2.647409540 -116.736230185   -9.644071495
   -2.612110746 -117.036751777   -7.472221385
   -2.576811952 -117.232143807   -3.806442551
   -2.541513158 -117.302592404   -0.895096372
   -2.506214364 -117.302947602    0.229610150
   -2.470915570 -117.290117721    0.161492539
   -2.435616776 -117.270514074    0.978295828
   -2.400317983 -117.184558689    3.779052241
   -2.365019189 -116.974510543    7.759709749
   -2.329720395 -116.641270586   10.321638741
   -2.294421601 -116.272793264    9.593129820
   -2.259122807 -115.980413962    6.414540076
   -2.223824013 -115.804953310    3.371376057
   -2.188525219 -115.694752393    3.136434623
   -2.153226425 -115.534961049    5.804131080
   -2.117927632 -115.252000256    9.939310697
   -2.082628838 -114.834051478   13.091355394
   -2.047330044 -114.337920903   14.254809819
   -2.012031250 -113.841084513   13.209743393
   -1.976732456 -113.421887226    9.768961756
   -1.941433662 -113.166772275    3.933847307
   -1.906134868 -113.151135525   -3.382863393
   -1.870836075 -113.387468789  -10.077463823
   -1.835537281 -113.807802120  -13.433193304
   -1.800238487 -114.278603775  -13.083364616
   -1.764939693 -114.696139282  -10.988931488
   -1.729640899 -115.053153514   -9.979096814
   -1.694342105 -115.418547220  -11.413299072
   -1.659043311 -115.857439841  -13.788344295
   -1.623744518 -116.359372926  -14.559191907
   -1.588445724 -116.840846847  -12.658730802
   -1.553146930 -117.218724471   -8.949717247
   -1.517848136 -117.459582220   -5.100839911
   -1.482549342 -117.575043550   -2.084933267
   -1.447250548 -117.603297206    0.144570936
   -1.411951754 -117.564524528    1.571605661
   -1.376652961 -117.487877662    2.225318455
   -1.341354167 -117.397417187    2.420100568
   -1.306055373 -117.292285696    3.489531415
   -1.270756579 -117.113107844    6.710800037
   -1.235457785 -116.773091408   12.486539444
   -1.200158991 -116.210539891   18.894625648
   -1.164860197 -115.448693327   23.354768883
   -1.129561404 -114.582345896   25.016228504
   -1.094262610 -113.683192706   25.642820909
   -1.058963816 -112.737237979   28.031694840
   -1.023665022 -111.663426674   32.663836901
