LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 1.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.005
variable tau equal 100*${dt}
variable tau equal 100*0.005
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.005
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.5
Lattice spacing in x,y,z = 1.3867225 1.3867225 1.3867225
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.09378 11.09378 11.09378)
  1 by 2 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.09378 11.09378 11.09378)
  create_atoms CPU = 0.024 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.005
thermo ${thermo_time}
thermo 250

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.5
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.098 | 3.098 | 3.098 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0.9375         0              5.4353027      55.122803    
       250   1.9474324      3.9579276      0              6.8776499      90.529358    
       500   2.6576922      4.9131237      0              8.8977154      103.08482    
       750   3.1162885      5.7440961      0              10.416246      112.94587    
      1000   2.9661811      5.43715        0              9.8842491      109.69427    
      1250   2.9723697      5.5114774      0              9.9678549      110.39129    
      1500   3.1005943      5.5659104      0              10.214531      111.26377    
      1750   2.8654295      5.4989661      0              9.7950117      110.07095    
      2000   3.0561511      5.653204       0              10.235192      111.76461    
      2250   3.0052466      5.4041369      0              9.9098058      109.08627    
      2500   3.006951       5.5178779      0              10.026102      110.72919    
      2750   3.0703917      5.5240909      0              10.12743       110.35655    
      3000   2.9541891      5.4395047      0              9.8686246      109.39305    
      3250   3.0662791      5.581959       0              10.179132      111.24378    
      3500   2.8946287      5.5739524      0              9.9137754      110.77453    
      3750   3.0553768      5.4839396      0              10.064767      110.295      
      4000   3.0305377      5.5293894      0              10.072976      110.64851    
      4250   2.9184037      5.5439359      0              9.9194039      110.35392    
      4500   2.9945864      5.6750887      0              10.164775      112.08202    
      4750   2.9436731      5.4979086      0              9.9112623      110.30608    
      5000   3.0313957      5.5565976      0              10.101471      111.10547    
      5250   3.0285534      5.4140464      0              9.9546583      109.182      
      5500   2.9158128      5.6126799      0              9.9842635      111.13697    
      5750   2.9962206      5.5541575      0              10.046294      111.00793    
      6000   2.8920179      5.4571402      0              9.7930489      109.8821     
      6250   3.0057375      5.563891       0              10.070296      110.86935    
      6500   2.9625724      5.5177247      0              9.9594135      110.09441    
      6750   2.9923476      5.4435744      0              9.9299041      109.25987    
      7000   2.9506308      5.637808       0              10.061593      111.66182    
      7250   2.9623074      5.5021496      0              9.9434411      109.91921    
      7500   2.9676335      5.6048065      0              10.054083      111.21817    
      7750   3.0687516      5.4389821      0              10.039862      109.84545    
      8000   2.9080834      5.550072       0              9.9100671      110.43742    
      8250   3.0098752      5.6600292      0              10.172638      111.7374     
      8500   2.880436       5.5926202      0              9.9111645      110.9868     
      8750   3.0830088      5.4613322      0              10.083587      109.82139    
      9000   2.999025       5.5135565      0              10.009898      110.39872    
      9250   2.9751542      5.4837205      0              9.9442728      109.70737    
      9500   3.0477775      5.5933542      0              10.162788      111.36994    
      9750   2.9210188      5.5394935      0              9.9188823      110.57877    
